date,ticker,strike_price,balance,stk_qty,opt_qty,opt_sell_price,stk_buy_price,stk_unrealised,opt_unrealised,opt_expiry,lot_size,isNewDay
2025-09-10,AAPL,245.0,139.63,234,-200,0.57,239.3,-2927.34,104.0,2025-09-12,100.0,False
2025-09-11,AAPL,245.0,139.63,234,-200,0.57,239.3,-2169.18,110.0,2025-09-12,100.0,False
2025-09-12,AAPL,245.0,253.63,234,0,0,239.3,-1223.82,0,2025-09-12,100.0,True
2025-09-15,AAPL,242.5,253.63,234,-200.0,0.63,239.3,-608.4,-2.0,2025-09-19,100.0,False
2025-09-16,AAPL,242.5,253.63,234,-200,0.63,239.3,-269.1,-40.0,2025-09-19,100.0,False
2025-09-17,AAPL,242.5,253.63,234,-200,0.63,239.3,-72.54,-2.0,2025-09-19,100.0,False
2025-09-18,AAPL,242.5,253.63,234,-200,0.63,239.3,-332.28,90.0,2025-09-19,100.0,False
2025-09-19,AAPL,242.5,57124.63,0,0,0,0,0,0,2025-09-19,100.0,True
2025-09-22,AAPL,265.0,6.43,230.0,-200.0,0.58,248.34,1780.2,-2.0,2025-09-26,100.0,False
2025-09-23,AAPL,265.0,6.43,230,-200,0.58,248.34,1400.7,78.0,2025-09-26,100.0,False
2025-09-24,AAPL,265.0,6.43,230,-200,0.58,248.34,913.1,104.0,2025-09-26,100.0,False
2025-09-25,AAPL,265.0,6.43,230,-200,0.58,248.34,1961.9,100.0,2025-09-26,100.0,False
2025-09-26,AAPL,265.0,122.43,230,0,0,248.34,1637.6,0,2025-09-26,100.0,True
2025-09-29,AAPL,262.5,122.43,230,-200.0,0.36,248.34,1400.7,-2.0,2025-10-03,100.0,False
2025-09-30,AAPL,262.5,122.43,230,-200,0.36,248.34,1446.7,28.0,2025-10-03,100.0,False
2025-10-01,AAPL,262.5,122.43,230,-200,0.36,248.34,1635.3,28.0,2025-10-03,100.0,False
2025-10-02,AAPL,262.5,122.43,230,-200,0.36,248.34,2021.7,46.0,2025-10-03,100.0,False
2025-10-03,AAPL,262.5,194.43,230,0,0,248.34,2226.4,0,2025-10-03,100.0,True
2025-10-06,AAPL,265.0,194.43,230,-200.0,0.46,248.34,1920.5,-4.0,2025-10-10,100.0,False
2025-10-07,AAPL,265.0,194.43,230,-200,0.46,248.34,1872.2,50.0,2025-10-10,100.0,False
2025-10-08,AAPL,265.0,194.43,230,-200,0.46,248.34,2235.6,58.0,2025-10-10,100.0,False
2025-10-09,AAPL,265.0,194.43,230,-200,0.46,248.34,1311.0,84.0,2025-10-10,100.0,False
2025-10-10,AAPL,265.0,286.43,230,0,0,248.34,-706.1,0,2025-10-10,100.0,True
2025-10-13,AAPL,255.0,286.43,230,-200.0,0.55,248.34,-156.4,-2.0,2025-10-17,100.0,False
2025-10-14,AAPL,255.0,286.43,230,-200,0.55,248.34,-131.1,20.0,2025-10-17,100.0,False
