Date,Ticker,Stock_qty,Stock_buy_price,Stock_close_price,Option_strike,Option_expiry,Option_qty,Option_sell_price,Option_ask_price,Stock_unrealized,Option_unrealized,Total_unrealized,Stock_realized,Option_realized,Total_realized
2026-01-02,AAPL,230,248.34,271.01,277.5,2026-01-02,0,0,0,5214.1,0,5214.1,0,90.0,90.0
2026-01-05,AAPL,230,248.34,267.26,275.0,2026-01-09,-200.0,0.26,0.27,4351.6,-2.0,4349.6,0,0,0
2026-01-06,AAPL,230,248.34,262.36,275.0,2026-01-09,-200,0.26,0.09,3224.6,34.0,3258.6,0,0,0
2026-01-07,AAPL,230,248.34,260.33,275.0,2026-01-09,-200,0.26,0.04,2757.7,44.0,2801.7,0,0,0
2026-01-08,AAPL,230,248.34,259.04,275.0,2026-01-09,-200,0.26,0.04,2461.0,44.0,2505.0,0,0,0
2026-01-09,AAPL,230,248.34,259.37,275.0,2026-01-09,0,0,0,2536.9,0,2536.9,0,52.0,52.0
2026-01-12,AAPL,230,248.34,260.25,267.5,2026-01-16,-200.0,0.63,0.65,2739.3,-4.0,2735.3,0,0,0
2026-01-13,AAPL,230,248.34,261.05,267.5,2026-01-16,-200,0.63,0.49,2923.3,28.0,2951.3,0,0,0
2026-01-14,AAPL,230,248.34,259.96,267.5,2026-01-16,-200,0.63,0.23,2672.6,80.0,2752.6,0,0,0
2026-01-15,AAPL,230,248.34,258.21,267.5,2026-01-16,-200,0.63,0.04,2270.1,118.0,2388.1,0,0,0
2026-01-16,AAPL,230,248.34,255.53,267.5,2026-01-16,0,0,0,1653.7,0,1653.7,0,126.0,126.0
2026-01-20,AAPL,230,248.34,246.7,255.0,2026-01-23,-200.0,0.4,0.45,-377.2,-10.0,-387.2,0,0,0
2026-01-21,AAPL,230,248.34,247.65,255.0,2026-01-23,-200,0.4,0.21,-158.7,38.0,-120.7,0,0,0
2026-01-22,AAPL,230,248.34,248.35,255.0,2026-01-23,-200,0.4,0.08,2.3,64.0,66.3,0,0,0
2026-01-23,AAPL,230,248.34,248.04,255.0,2026-01-23,0,0,0,-69.0,0,-69.0,0,80.0,80.0
2026-01-26,AAPL,230,248.34,255.41,270.0,2026-01-30,-200.0,0.86,0.88,1626.1,-4.0,1622.1,0,0,0
2026-01-27,AAPL,230,248.34,258.27,270.0,2026-01-30,-200,0.86,1.06,2283.9,-40.0,2243.9,0,0,0
2026-01-28,AAPL,230,248.34,256.44,270.0,2026-01-30,-200,0.86,0.85,1863.0,2.0,1865.0,0,0,0
2026-01-29,AAPL,230,248.34,258.28,270.0,2026-01-30,-200,0.86,1.48,2286.2,-124.0,2162.2,0,0,0
2026-01-30,AAPL,230,248.34,259.48,270.0,2026-01-30,0,0,0,2562.2,0,2562.2,0,172.0,172.0
2026-02-02,AAPL,230,248.34,270.01,275.0,2026-02-04,-200.0,0.48,0.51,4984.1,-6.0,4978.1,0,0,0
2026-02-03,AAPL,230,248.34,269.48,275.0,2026-02-04,-200,0.48,0.14,4862.2,68.0,4930.2,0,0,0
2026-02-04,AAPL,0,0,276.49,275.0,2026-02-04,0,0,0,0,0,0,6131.8,96.0,6227.8
2026-02-05,AAPL,234.0,278.02,275.91,280.0,2026-02-06,-200.0,0.49,0.51,-493.74,-4.0,-497.74,0,0,0
2026-02-06,AAPL,234,278.02,278.12,280.0,2026-02-06,0,0,0,23.4,0,23.4,0,98.0,98.0
2026-02-09,AAPL,234,278.02,274.62,280.0,2026-02-11,-200.0,0.37,0.4,-795.6,-6.0,-801.6,0,0,0
2026-02-10,AAPL,234,278.02,273.68,280.0,2026-02-11,-200,0.37,0.1,-1015.56,54.0,-961.56,0,0,0
2026-02-11,AAPL,234,278.02,275.5,280.0,2026-02-11,0,0,0,-589.68,0,-589.68,0,74.0,74.0
2026-02-12,AAPL,234,278.02,261.73,267.5,2026-02-13,-200.0,0.45,0.49,-3811.86,-8.0,-3819.86,0,0,0
2026-02-13,AAPL,234,278.02,255.78,267.5,2026-02-13,0,0,0,-5204.16,0,-5204.16,0,90.0,90.0
2026-02-17,AAPL,234,278.02,263.88,267.5,2026-02-18,-200.0,0.46,0.49,-3308.76,-6.0,-3314.76,0,0,0
2026-02-18,AAPL,234,278.02,264.35,267.5,2026-02-18,0,0,0,-3198.78,0,-3198.78,0,92.0,92.0
2026-02-19,AAPL,234,278.02,260.58,265.0,2026-02-20,-200.0,0.31,0.34,-4080.96,-6.0,-4086.96,0,0,0
2026-02-20,AAPL,234,278.02,264.58,265.0,2026-02-20,0,0,0,-3144.96,0,-3144.96,0,62.0,62.0
2026-02-23,AAPL,234,278.02,266.18,272.5,2026-02-25,-200.0,0.35,0.38,-2770.56,-6.0,-2776.56,0,0,0
